xi,yi,Xr,Yr
94,119,35.56,30.48
114,120,35.56,20.32
138,122,35.56,10.16
169,123,35.56,0.0
200,123,35.56,-10.16
225,121,35.56,-20.319999999999997
245,120,35.56,-30.48
77,124,25.400000000000002,30.48
98,127,25.400000000000002,20.32
127,130,25.400000000000002,10.16
169,131,25.400000000000002,0.0
210,130,25.400000000000002,-10.16
241,127,25.400000000000002,-20.319999999999997
261,125,25.400000000000002,-30.48
56,131,15.240000000000002,30.48
74,137,15.240000000000002,20.32
108,145,15.240000000000002,10.16
169,151,15.240000000000002,0.0
232,146,15.240000000000002,-10.16
266,138,15.240000000000002,-20.319999999999997
282,132,15.240000000000002,-30.48
34,139,5.080000000000002,30.48
40,151,5.080000000000002,20.32
65,178,5.080000000000002,10.16
170,217,5.080000000000002,0.0
274,179,5.080000000000002,-10.16
298,153,5.080000000000002,-20.319999999999997
305,140,5.080000000000002,-30.48
99,235,2.54,3.175
238,234,2.54,-3.175
