xi,yi,Xr,Yr
47,59,35.56,30.48
57,60,35.56,20.32
69,61,35.56,10.16
85,61,35.56,0.0
100,61,35.56,-10.16
112,60,35.56,-20.319999999999997
122,60,35.56,-30.48
39,62,25.400000000000002,30.48
49,63,25.400000000000002,20.32
63,65,25.400000000000002,10.16
85,66,25.400000000000002,0.0
105,65,25.400000000000002,-10.16
120,64,25.400000000000002,-20.319999999999997
130,62,25.400000000000002,-30.48
28,65,15.240000000000002,30.48
37,68,15.240000000000002,20.32
54,73,15.240000000000002,10.16
85,76,15.240000000000002,0.0
116,74,15.240000000000002,-10.16
133,69,15.240000000000002,-20.319999999999997
141,66,15.240000000000002,-30.48
16,70,5.080000000000002,30.48
20,76,5.080000000000002,20.32
32,89,5.080000000000002,10.16
85,109,5.080000000000002,0.0
137,89,5.080000000000002,-10.16
149,76,5.080000000000002,-20.319999999999997
153,70,5.080000000000002,-30.48
51,118,2.54,3.175
117,118,2.54,-3.175
