xi,yi,Xr,Yr
44,60,32.17786901707309,30.46488214847505
45,60,32.35092363898438,29.945113710691007
46,60,32.6183361593656,29.143041171679158
47,60,32.88574867974682,28.340968632667312
48,60,33.153166306429625,27.538842220847037
49,60,33.42058904854009,26.73666183993608
50,60,33.688011790650556,25.934481459025125
51,60,33.95543453276102,25.13230107811416
52,60,34.22285727487149,24.3301206972032
53,60,34.49174003482586,23.5294006988924
54,60,34.76875409628221,22.736814033526514
55,60,35.04211063814566,21.94056893480966
56,60,35.30622063184134,21.13507621160304
57,60,35.55994687452367,20.31934252728422
58,60,35.546810117479325,19.848761785366598
59,60,35.54103911288943,19.306729680234522
60,60,35.53889241832901,18.695813437916634
61,60,35.53878456917075,18.045518386491125
62,60,35.539939064179066,17.370659124827956
63,60,35.541926946609344,16.679349689979315
64,60,35.54448772313505,15.976407648777903
65,60,35.547446804322334,15.264875994124266
66,60,35.55066878687462,14.546776745562882
67,60,35.55401601208499,13.823519748958986
68,60,35.55726670255824,13.096159753585392
69,60,35.5597571696195,12.365684228827744
70,60,35.55950338134163,11.633722535187912
71,60,35.55757174723342,10.90050673896131
72,60,35.555315330874514,10.16502007690645
73,60,35.553276738924346,9.426996890430793
74,60,35.55165539712233,8.68686785757133
75,60,35.55050041507845,7.945194202496698
76,60,35.54981526522229,7.2020406493319955
77,60,35.54959284885653,6.457492797584723
78,60,35.5498322644033,5.711638701245625
79,60,35.550511766825124,4.964541072493855
80,60,35.551583719248946,4.216249713476386
81,60,35.5530165508638,3.4668239740721
82,60,35.55477671334922,2.7163180406961707
83,60,35.55681950739318,1.964783303633038
84,60,35.55902269201294,1.212283809155846
85,60,35.56,0.4591417783188324
86,60,35.559265782754025,-0.29478101789612193
87,60,35.55762199758363,-1.0498441126074185
88,60,35.55628409205679,-1.8063140653356151
89,60,35.55531720956096,-2.5641866880253055
90,60,35.55470909939439,-3.323444354427499
91,60,35.554435820610514,-4.08407075632422
92,60,35.55447030923871,-4.846052959015178
93,60,35.55478352355807,-5.609382100499965
94,60,35.55534599408643,-6.37405483545055
95,60,35.55611589173253,-7.140073046499863
96,60,35.55704316166266,-7.9074455548980405
97,60,35.55806287785231,-8.676197460018585
98,60,35.55906254125816,-9.446077217768433
99,60,35.55982875093071,-10.216876378454428
100,60,35.559899742381766,-10.988764233461405
101,60,35.558966725345186,-11.761584617710659
102,60,35.55797020067465,-12.535315333696765
103,60,35.55715119616336,-13.309970741883177
104,60,35.55658197658177,-14.085583481133861
105,60,35.556274286605586,-14.862155732012983
106,60,35.556209606617955,-15.639668712455537
107,60,35.5563683149835,-16.41801376192999
108,60,35.556731698888306,-17.196992005358705
109,60,35.55728245454055,-17.976602497887182
110,60,35.55800499468497,-18.756853217938993
111,60,35.558886000660124,-19.537755470219395
112,60,35.559197111449514,-20.318977004677574
113,60,35.557175149826485,-21.333319749220767
114,60,35.555280212236305,-22.348175440077235
115,60,35.55393441828157,-23.363378720317552
116,60,35.55316340152231,-24.378952071952668
117,60,35.55294066261474,-25.394870536882667
118,60,35.553266231284944,-26.411134133819093
119,60,35.554139957333575,-27.42774276821864
120,60,35.55556161823988,-28.444696300015355
121,60,35.55753092216818,-29.461994545467732
41,61,28.79001567282751,30.46853838363082
42,61,28.892227797529472,30.214729536490594
43,61,29.204009479298584,29.420088196085935
44,61,29.485745446555992,28.62041462913367
45,61,29.734651165920486,27.81524246620203
46,61,29.963084687369502,27.006641503539296
47,61,30.21171730837022,26.20142360054592
48,61,30.47913130723059,25.399335463179234
49,61,30.746552568747447,24.59717070293121
50,61,31.013975310857905,23.79499032202024
51,61,31.288948406092377,23.000362180537916
52,61,31.668075793925,22.30991435251941
53,61,32.08297146390811,21.65536164084605
54,61,32.4767934915173,20.996446709400416
55,61,32.835410733262805,20.33198339163898
56,61,33.16945817836147,19.686639772916134
57,61,33.47363447676975,19.106232721645227
58,61,33.61969805837042,18.449023766618435
59,61,33.716429135617425,17.694314977107517
60,61,33.866811909195,16.932873453228535
61,61,34.05485457191096,16.180294450095307
62,61,34.24295832810888,15.427729824122082
63,61,34.4310620843068,14.675165198148854
64,61,34.61916584050472,13.922600572175616
65,61,34.807269596702646,13.170035946202386
66,61,34.995373352900565,12.417471320229145
67,61,35.18347710909848,11.664906694255919
68,61,35.37158086529641,10.912342068282685
69,61,35.55969285905141,10.159882283920323
70,61,35.508847142224795,9.58865546945553
71,61,35.472602771647075,9.003037496054752
72,61,35.447242872700635,8.4048233602752
73,61,35.43005028852883,7.795673969404519
74,61,35.419130931527235,7.176958406282061
75,61,35.41315195987339,6.54981844743795
76,61,35.41118340401212,5.915215645635422
77,61,35.41276108192138,5.2740773346770755
78,61,35.41827273594125,4.627643275073805
79,61,35.42774095017279,3.9769339691153696
80,61,35.441480447800615,3.32284482550254
81,61,35.45988684405409,2.6652283648037733
82,61,35.48114649377831,2.003959287986307
83,61,35.504920762939044,1.339080425423105
84,61,35.53103782533166,0.6706907633857909
85,61,35.55853027743723,0.00011506494320374175
86,61,35.531698557569705,-0.7041503593654302
87,61,35.50618980814298,-1.4071031710693416
88,61,35.483004495430386,-2.1077369092136746
89,61,35.46241607649368,-2.8057786302563628
90,61,35.44474164776093,-3.500911833243153
91,61,35.43149862618873,-4.192817210857466
92,61,35.42300864924258,-4.880909964947643
93,61,35.418222985709214,-5.564272619317617
94,61,35.41727918722577,-6.242368142642463
95,61,35.42073850307176,-6.914602188578455
96,61,35.42956352554674,-7.580296437066638
97,61,35.445210507147834,-8.238678442015965
98,61,35.46981864613096,-8.88887343559878
99,61,35.50654179650319,-9.529902551730034
100,61,35.559999097961885,-10.160789991191045
101,61,35.36909664980242,-10.927041259773906
102,61,35.17724920531275,-11.693731900492175
103,61,34.985401760823066,-12.46042254121044
104,61,34.79355431633339,-13.227113181928704
105,61,34.60170687184371,-13.99380382264696
106,61,34.409859427354036,-14.760494463365218
107,61,34.218011982864354,-15.527185104083477
108,61,34.02616453837468,-16.293875744801745
109,61,33.847068865957056,-17.060758389453202
110,61,33.72651650771382,-17.82540995786132
111,61,33.644919395237494,-18.559453833005797
112,61,33.583386147673195,-19.21914041065489
113,61,33.462278370756145,-19.896437802089377
