xi,yi,Xr,Yr
190,240,35.56,30.48
228,242,35.56,20.32
279,245,35.56,10.16
341,246,35.56,0.0
400,245,35.56,-10.16
450,243,35.56,-20.319999999999997
488,241,35.56,-30.48
156,248,25.400000000000002,30.48
197,254,25.400000000000002,20.32
256,260,25.400000000000002,10.16
340,263,25.400000000000002,0.0
423,261,25.400000000000002,-10.16
484,256,25.400000000000002,-20.319999999999997
522,250,25.400000000000002,-30.48
115,262,15.240000000000002,30.48
147,274,15.240000000000002,20.32
217,290,15.240000000000002,10.16
338,303,15.240000000000002,0.0
465,293,15.240000000000002,-10.16
532,276,15.240000000000002,-20.319999999999997
563,264,15.240000000000002,-30.48
68,277,5.080000000000002,30.48
82,302,5.080000000000002,20.32
128,355,5.080000000000002,10.16
341,435,5.080000000000002,0.0
548,358,5.080000000000002,-10.16
596,305,5.080000000000002,-20.319999999999997
611,280,5.080000000000002,-30.48
198,466,2.54,3.175
479,468,2.54,-3.175
