xi,yi,Xr,Yr
147,255,35.56,30.48
186,259,35.56,20.32
238,262,35.56,10.16
297,264,35.56,0.0
357,264,35.56,-10.16
408,261,35.56,-20.319999999999997
446,258,35.56,-30.48
114,263,25.400000000000002,30.48
154,270,25.400000000000002,20.32
215,277,25.400000000000002,10.16
297,282,25.400000000000002,0.0
379,279,25.400000000000002,-10.16
439,273,25.400000000000002,-20.319999999999997
481,268,25.400000000000002,-30.48
73,274,15.240000000000002,30.48
105,288,15.240000000000002,20.32
171,308,15.240000000000002,10.16
297,321,15.240000000000002,0.0
424,310,15.240000000000002,-10.16
491,294,15.240000000000002,-20.319999999999997
523,280,15.240000000000002,-30.48
28,287,5.080000000000002,30.48
42,312,5.080000000000002,20.32
87,367,5.080000000000002,10.16
293,447,5.080000000000002,0.0
505,375,5.080000000000002,-10.16
556,319,5.080000000000002,-20.319999999999997
570,294,5.080000000000002,-30.48
157,476,2.54,3.175
439,477,2.54,-3.175
