xi,yi,Xr,Yr
74,127,35.56,30.48
93,129,35.56,20.32
118,131,35.56,10.16
148,132,35.56,0.0
179,132,35.56,-10.16
204,131,35.56,-20.319999999999997
223,129,35.56,-30.48
57,132,25.400000000000002,30.48
77,135,25.400000000000002,20.32
107,138,25.400000000000002,10.16
148,141,25.400000000000002,0.0
189,140,25.400000000000002,-10.16
219,137,25.400000000000002,-20.319999999999997
241,134,25.400000000000002,-30.48
36,137,15.240000000000002,30.48
53,144,15.240000000000002,20.32
85,154,15.240000000000002,10.16
148,160,15.240000000000002,0.0
211,155,15.240000000000002,-10.16
245,147,15.240000000000002,-20.319999999999997
262,140,15.240000000000002,-30.48
14,144,5.080000000000002,30.48
20,156,5.080000000000002,20.32
44,183,5.080000000000002,10.16
147,224,5.080000000000002,0.0
253,187,5.080000000000002,-10.16
277,159,5.080000000000002,-20.319999999999997
285,147,5.080000000000002,-30.48
78,238,2.54,3.175
219,239,2.54,-3.175
