xi,yi,Xr,Yr
173,248,35.56,30.48
212,249,35.56,20.32
263,253,35.56,10.16
324,255,35.56,0.0
384,253,35.56,-10.16
434,251,35.56,-20.319999999999997
473,249,35.56,-30.48
140,257,25.400000000000002,30.48
181,263,25.400000000000002,20.32
239,268,25.400000000000002,10.16
323,271,25.400000000000002,0.0
407,269,25.400000000000002,-10.16
467,264,25.400000000000002,-20.319999999999997
508,259,25.400000000000002,-30.48
96,270,15.240000000000002,30.48
130,282,15.240000000000002,20.32
198,299,15.240000000000002,10.16
321,310,15.240000000000002,0.0
447,301,15.240000000000002,-10.16
517,283,15.240000000000002,-20.319999999999997
550,272,15.240000000000002,-30.48
50,286,5.080000000000002,30.48
63,310,5.080000000000002,20.32
111,365,5.080000000000002,10.16
322,443,5.080000000000002,0.0
535,365,5.080000000000002,-10.16
582,313,5.080000000000002,-20.319999999999997
596,289,5.080000000000002,-30.48
177,478,2.54,3.175
461,477,2.54,-3.175
