xi,yi,Xr,Yr
86,124,35.56,30.48
106,125,35.56,20.32
131,126,35.56,10.16
162,127,35.56,0.0
192,126,35.56,-10.16
218,125,35.56,-20.319999999999997
237,125,35.56,-30.48
70,128,25.400000000000002,30.48
90,131,25.400000000000002,20.32
119,134,25.400000000000002,10.16
162,135,25.400000000000002,0.0
203,134,25.400000000000002,-10.16
233,132,25.400000000000002,-20.319999999999997
253,129,25.400000000000002,-30.48
48,135,15.240000000000002,30.48
65,141,15.240000000000002,20.32
99,149,15.240000000000002,10.16
161,155,15.240000000000002,0.0
225,150,15.240000000000002,-10.16
258,142,15.240000000000002,-20.319999999999997
274,136,15.240000000000002,-30.48
24,143,5.080000000000002,30.48
32,155,5.080000000000002,20.32
56,182,5.080000000000002,10.16
160,223,5.080000000000002,0.0
267,183,5.080000000000002,-10.16
291,157,5.080000000000002,-20.319999999999997
298,145,5.080000000000002,-30.48
88,237,2.54,3.175
228,239,2.54,-3.175
