xi,yi,Xr,Yr
43,62,35.56,30.48
53,62,35.56,20.32
65,63,35.56,10.16
81,63,35.56,0.0
96,63,35.56,-10.16
108,62,35.56,-20.319999999999997
118,62,35.56,-30.48
34,64,25.400000000000002,30.48
45,65,25.400000000000002,20.32
59,67,25.400000000000002,10.16
81,68,25.400000000000002,0.0
101,67,25.400000000000002,-10.16
117,66,25.400000000000002,-20.319999999999997
126,65,25.400000000000002,-30.48
24,67,15.240000000000002,30.48
32,70,15.240000000000002,20.32
50,74,15.240000000000002,10.16
80,77,15.240000000000002,0.0
112,75,15.240000000000002,-10.16
129,71,15.240000000000002,-20.319999999999997
137,68,15.240000000000002,-30.48
12,71,5.080000000000002,30.48
15,78,5.080000000000002,20.32
28,91,5.080000000000002,10.16
80,111,5.080000000000002,0.0
133,91,5.080000000000002,-10.16
145,78,5.080000000000002,-20.319999999999997
149,72,5.080000000000002,-30.48
46,119,2.54,3.175
111,119,2.54,-3.175
