xi,yi,Xr,Yr
71,124,35.56,30.48
88,125,35.56,20.32
114,127,35.56,10.16
145,127,35.56,0.0
175,127,35.56,-10.16
200,125,35.56,-20.319999999999997
219,124,35.56,-30.48
53,128,25.400000000000002,30.48
73,132,25.400000000000002,20.32
103,134,25.400000000000002,10.16
145,136,25.400000000000002,0.0
187,135,25.400000000000002,-10.16
217,132,25.400000000000002,-20.319999999999997
237,129,25.400000000000002,-30.48
32,135,15.240000000000002,30.48
49,141,15.240000000000002,20.32
83,150,15.240000000000002,10.16
144,156,15.240000000000002,0.0
208,151,15.240000000000002,-10.16
242,142,15.240000000000002,-20.319999999999997
257,136,15.240000000000002,-30.48
9,143,5.080000000000002,30.48
15,156,5.080000000000002,20.32
40,184,5.080000000000002,10.16
145,223,5.080000000000002,0.0
250,184,5.080000000000002,-10.16
274,157,5.080000000000002,-20.319999999999997
281,145,5.080000000000002,-30.48
73,238,2.54,3.175
215,238,2.54,-3.175
