xi,yi,Xr,Yr
35,62,35.56,30.48
45,62,35.56,20.32
57,63,35.56,10.16
72,63,35.56,0.0
88,63,35.56,-10.16
100,63,35.56,-20.319999999999997
110,62,35.56,-30.48
26,64,25.400000000000002,30.48
36,66,25.400000000000002,20.32
51,67,25.400000000000002,10.16
72,68,25.400000000000002,0.0
92,67,25.400000000000002,-10.16
108,66,25.400000000000002,-20.319999999999997
118,64,25.400000000000002,-30.48
15,67,15.240000000000002,30.48
24,70,15.240000000000002,20.32
41,75,15.240000000000002,10.16
72,78,15.240000000000002,0.0
104,75,15.240000000000002,-10.16
121,71,15.240000000000002,-20.319999999999997
129,68,15.240000000000002,-30.48
4,72,5.080000000000002,30.48
8,78,5.080000000000002,20.32
20,91,5.080000000000002,10.16
72,111,5.080000000000002,0.0
125,91,5.080000000000002,-10.16
137,78,5.080000000000002,-20.319999999999997
140,72,5.080000000000002,-30.48
37,119,2.54,3.175
104,119,2.54,-3.175
