xi,yi,Xr,Yr
140,248,35.56,30.48
178,251,35.56,20.32
229,252,35.56,10.16
291,254,35.56,0.0
352,254,35.56,-10.16
402,251,35.56,-20.319999999999997
439,249,35.56,-30.48
108,257,25.400000000000002,30.48
149,263,25.400000000000002,20.32
207,268,25.400000000000002,10.16
291,271,25.400000000000002,0.0
374,270,25.400000000000002,-10.16
434,265,25.400000000000002,-20.319999999999997
475,258,25.400000000000002,-30.48
65,270,15.240000000000002,30.48
97,283,15.240000000000002,20.32
166,299,15.240000000000002,10.16
289,314,15.240000000000002,0.0
417,303,15.240000000000002,-10.16
485,284,15.240000000000002,-20.319999999999997
516,272,15.240000000000002,-30.48
17,288,5.080000000000002,30.48
32,312,5.080000000000002,20.32
78,367,5.080000000000002,10.16
289,445,5.080000000000002,0.0
500,366,5.080000000000002,-10.16
548,315,5.080000000000002,-20.319999999999997
562,289,5.080000000000002,-30.48
148,477,2.54,3.175
428,478,2.54,-3.175
